0,Age,Gender,Religion,Occupation,Country and city of residence,1.1 Do you think religion provides the complete code of conduct of a person’s life?,1.2 Do you think religious freedom is everyone’s right? ,1.3 Do you believe that religious freedom (the freedom to practice religion) is guaranteed to all individuals in the place where you reside? ,1.4 Do you think people who wear modest clothes appear to be more moral.,2.1 Do you believe that individuals who regularly use drugs or consume alcohol are positive contributing members of the society?,2.2 Would you have a positive or a negative reaction towards such members?,"2.3 Women, transgenders, minorities are given equal rights in the society you live in.","2.4 Patriarchy is a social system in which men hold primary power and predominate in roles of moral authority.

Were you aware of the term patriarchy before reading this definition?",2.5 Do you believe patriarchy is a necessary/effective type of social system?,"2.6 If you live in Pakistan, do you think Aurat March has negatively targeted the moral values of our society?",2.7 How do you think your moral values and beliefs have changed over time?,2.8 Do you think concerts/parties are spreading vulgarity in our society?,"3.1 How much time do you spend consuming media (e.g., watching TV, streaming movies, reading news articles, using social media)?",3.2 Have you ever encountered media content that you believe was immoral or unethical?,3.3 Do you believe that the media has an impact on your personal morality or the moral values of society?,3.4 Do you think that media companies have a responsibility to promote moral values in their content?,3.5 Your moral views or behavior changed because of consuming media.,3.6 You have encountered media content that you felt was biased or misleading when it came to presenting moral issues
133,21,Female,Atheist,Management,Swedan,To some extent,Yes,No,No,To some extent,Positive,No,Yes,No,No,They have become more liberal or open minded,No,4 – 6 hours,Yes,To some extent,To some extent,To some extent,Yes
134,21,Male,Atheist,Software Engineer ,Australia,To some extent,Yes,No,No,To some extent,Positive,No,Yes,No,No,They have become more liberal or open minded,No,4 – 6 hours,Yes,To some extent,To some extent,To some extent,Yes
135,21,Male,Atheist,Researcher,Australia,To some extent,Yes,No,No,To some extent,Positive,No,Yes,No,No,They have become more liberal or open minded,No,4 – 6 hours,Yes,To some extent,To some extent,To some extent,Yes
136,21,Male,Atheist,Market Manager,Australia,To some extent,Yes,No,No,To some extent,Positive,No,Yes,No,No,They have become more liberal or open minded,No,4 – 6 hours,Yes,To some extent,To some extent,To some extent,Yes
137,21,Female,Atheist,Doctor ,England,To some extent,Yes,No,No,To some extent,Positive,No,Yes,No,No,They have become more liberal or open minded,No,4 – 6 hours,Yes,To some extent,To some extent,To some extent,Yes
138,21,Male,Atheist,Student,England,To some extent,Yes,No,No,To some extent,Positive,No,Yes,No,No,They have become more liberal or open minded,No,4 – 6 hours,Yes,To some extent,To some extent,To some extent,Yes
125,56,Male,Atheist,Professor,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have become more liberal or open minded,No,0 – 3 hours,Yes,No,No,No,Yes
150,38,Female,Islam,Teacher,Stockholm ,Yes,Yes,Yes,To some extent,No,Indifferent/not have any reaction,Yes,No,Yes,To Some Extent,They have become more liberal or open minded,Yes,0 – 3 hours,Yes,To some extent,Yes,To some extent,To some extent
151,51,Male,Islam,Government Service,Pakistan,Yes,Yes,Yes,To some extent,No,Negative,Yes,No,To some extent,Yes,They have become more liberal or open minded,To some extent,0 – 3 hours,Yes,Yes,Yes,Yes,Yes
152,44,Male,Islam,Engineer,UAE,Yes,Yes,Yes,No,Yes,Positive,Yes,Yes,Yes,To Some Extent,They have become more liberal or open minded,No,0 – 3 hours,Yes,Yes,Yes,To some extent,Yes
153,41,Male,Islam,Doctor,Pakistan,Yes,Yes,No,Yes,To some extent,Negative,To some extent,No,To some extent,Yes,They have remained relatively constant,Yes,4 – 6 hours,Yes,Yes,Yes,No,Yes
154,52,Male,Islam,Banker,Pakistan,Yes,Yes,Yes,No,No,Negative,No,No,No,Yes,They have become more strict or conservative,Yes,0 – 3 hours,Yes,Yes,Yes,No,Yes
155,39,Male,Islam,Banker,Pakistan,Yes,Yes,To some extent,Yes,No,Negative,To some extent,No,Yes,Yes,They have become more liberal or open minded,Yes,0 – 3 hours,No,Yes,Yes,Yes,No
156,18,Female,Islam,Student,Pakistan,Yes,Yes,To some extent,To some extent,No,Negative,No,Yes,No,Yes,They have remained relatively constant,To some extent,0 – 3 hours,Yes,Yes,Yes,To some extent,Yes
157,20,Male,Islam,Student ,Pakistan ,Yes,Yes,No,To some extent,No,Negative,To some extent,No,No,Yes,They have remained relatively constant,Yes,4 – 6 hours,Yes,Yes,Yes,To some extent,Yes
,20,Male,Hindusiam ,Student,Thatta sindh,Yes,Yes,Yes,No,No,Negative,No,Yes,No,To Some Extent,They have become more liberal or open minded,To some extent,7 – 10 hours,Yes,To some extent,Yes,To some extent,To some extent
122,23,Female,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,24,Female,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,23,Male,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,29,Male,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,24,Male,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,23,Male,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,24,Female,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,24,Female,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,26,Female,Atheist,Student,Belgium,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,24,Male,Atheist,Student,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,23,Female,Atheist,Student,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,25,Male,Atheist,Student,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,23,Male,Atheist,Student,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,23,Male,Atheist,Student,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,22,Female,Atheist,Student,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,21,Female,Atheist,Student,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
122,24,Female,Atheist,Student,USA,No,Yes,Yes,No,Yes,Indifferent/not have any reaction,Yes,Yes,No,I’ve never heard about the Aurat March.,They have remained relatively constant,No,0 – 3 hours,Yes,Yes,No,No,Yes
